Recipe Name,Ingredients,Link
karwar style valval recipe  mixed vegetables in coconut milk,"beans, carrot , green peas , potato , cucumber, pointed gourd , green chilli, coconut milk, mustard seeds , cumin seeds , dry red chilli, coconut oil, curry leaves",https://www.archanaskitchen.com/karwar-style-valval-recipe-mixed-vegetables-in-coconut-milk
thai style sweet and sour cucumber   carrot salad recipe,"cucumber, carrot , sugar, rice vinegar,gingelly  oil, red chilli flakes, honey, raw peanuts , spring onion , salt",https://www.archanaskitchen.com/thai-style-sweet-and-sour-cucumber-salad-recipe
kerala style vendakka uppadan recipe," lady finger , tamarind, turmeric powder , coconut oil, mustard seeds , asafoetida , curry leaves, salt, methi seeds , rice, dry red chilli",https://www.archanaskitchen.com/vendakkai-uppadan-recipe-kerala-style-okra-curry-without-coconut
konkani style alasande randayi recipe black eyed beans and yam gravy,"black eyed beans , elephant yam , turmeric powder , jaggery, salt, coriander seeds, dry red chilli, tamarind, fresh coconut, mustard seeds , curry leaves, asafoetida , oil",https://www.archanaskitchen.com/konkani-style-alsande-randayi-recipe-black-eyed-beans-and-yam-gravy
chicken parmigiana recipe,"chicken breasts, whole wheat bread crumbs, all purpose flour , salt and pepper, whole egg, parmesan cheese, mozzarella cheese, tomato puree, onion, garlic, sugar, red chilli powder, red chilli flakes, rosemary, hot sauce, salt, oil",https://www.archanaskitchen.com/chicken-parmigiania-recipe
gongura chicken curry recipe   andhra style gongura chicken,"chicken, onion, tomato, green chilli, ginger, garlic, turmeric powder , garam masala powder,gingelly  oil, salt, methi seeds , coriander seeds, dry red chilli, fennel seeds ,gingelly  oil, garlic, sorrel leaves , salt",https://www.archanaskitchen.com/gongura-chicken-curry-recipe-andhra-style-gongura-chicken
sesame millet noodle salad with raw carrots  cucumbers   spicy peanut dressing,"hakka noodles, cucumbers,carrot , thai basil leaves, peanut butter, sesame seeds , sriracha sauce, ginger, garlic, red chilli, rice vinegar, water, honey, raw peanuts , sesame seeds , basil leaves",https://www.archanaskitchen.com/sesame-noodle-salad-with-raw-carrots-cucumbers-spicy-peanut-dressing
vankaya ulli karam recipe   eggplant in spicy onion gravy," eggplant , onions, tomato, garlic, ginger, green chilli, cumin seeds , coriander seeds, methi seeds , salt, oil, coriander leaves",https://www.archanaskitchen.com/vankaya-ulli-karam-recipe-eggplant-in-spicy-onion-gravy
sabsige soppu palya recipe   udupi style dill leaves stir fry,"dill leaves, fresh coconut, mustard seeds , bengal gram dal , garlic, onion, green chilli, curry leaves, oil, salt",https://www.archanaskitchen.com/sabsige-soppu-palya-udupi-style-dill-leaves-stir-fry-with-coconut
panasa pottu pappu koora recipe   jackfruit   dal curry,"jackfruit , moong dal , oil, urad dal , cumin seeds , mustard seeds , dry red chilli, asafoetida , curry leaves, turmeric powder , salt",https://www.archanaskitchen.com/panasa-pottu-pappu-koora-recipe-raw-jackfruit-moong-dal-curry
keema bhindi masala recipe   okra   minced meat curry," lady finger , salt, mustard oil, chicken, mustard oil, green chilli, onions, ginger, garlic, tomato puree, turmeric powder , red chilli powder, coriander powder , garam masala powder, salt, fenugreek leaves , coriander leaves",https://www.archanaskitchen.com/keema-bhindi-recipe-okra-minced-meat-curry
spinach and tomato quiche recipe,"all purpose pie crust, eggs, milk, spinach leaves , onion, garlic, rosemary, salt",https://www.archanaskitchen.com/spinach-and-tomato-quiche-recipe
pudalangai poriyal recipe    snake gourd poriyal recipe,"snake gourd , onion, green chilli, cumin powder , turmeric powder , oil, mustard seeds , fresh coconut, salt, curry leaves",https://www.archanaskitchen.com/pudalangai-poriyal-recipe-snake-gourd-poriyal-recipe
mushroom filled vol au vent recipe,"puff pastry sheet, mushrooms, garlic, fresh cream, thyme leaves, red chilli flakes, lemon juice, salt, whole black peppercorns",https://www.archanaskitchen.com/mushroom-filled-vol-au-vent-recipe
mangalorean style lobia gassi recipe   black eyed peas in coconut curry,"shallots, cloves , fresh coconut, dry red chilli, coriander seeds, cumin seeds , methi seeds , whole black peppercorns, curry leaves, tamarind, black eyed beans , coconut milk, turmeric powder , cinnamon stick , mustard seeds , garlic, dry red chilli, asafoetida , oil, salt",https://www.archanaskitchen.com/mangalorean-style-lobia-gazzi-recipe-black-eyed-peas-in-coconut-curry-recipe
curry fried quinoa rice recipe,"quinoa, brown rice,carrot , green peas , red bell pepper  capsicum , curry leaves, onions, extra virgin olive oil, garlic, eggs, curry powder, soy sauce, brown sugar , salt, black pepper powder",https://www.archanaskitchen.com/curry-fried-quinoa-rice-recipe
mangalorean chana gassi recipe," white chickpeas , salt, dry red chilli, garlic, coriander seeds, fresh coconut, tamarind paste, turmeric powder , salt, water, coconut oil, mustard seeds , methi seeds , asafoetida , curry leaves",https://www.archanaskitchen.com/mangalorean-chana-gassi-recipe
curried butternut squash soup recipe,"butternut squash, onion, ginger, garlic, red chilli powder, coriander powder , cumin powder , garam masala powder, salt, milk, water, extra virgin olive oil, extra virgin olive oil, pumpkin seeds, whole black peppercorns, coriander leaves",https://www.archanaskitchen.com/curried-butternut-squash-soup
chamadumpa vepudu recipe   andhra style colocasia stir fry   arbi sabzi,"colocasia root , red chilli powder, turmeric powder , dry mango powder , coriander powder, asafoetida , salt, gingelly oil, mustard seeds ,  urad dal , dry red chilli, curry leaves",https://www.archanaskitchen.com/andhra-style-chamadumpa-vepudu-recipe-colocassia-stir-fry-recipe
andhra style sorakaya kura recipe   bottle gourd and toor dal recipe,"bottle gourd , toor dal , mustard seeds , curry leaves, asafoetida , cumin seeds , tomatoes, green chilli, black pepper powder, turmeric powder , red chilli powder",https://www.archanaskitchen.com/andhra-style-sorakaya-kura-recipe-bottle-gourd-and-toor-dal-recipe
beetroot dip rosemary crostini recipe with fine cheddar and avocado,"baguette, avocado, cheddar cheese, beetroot dip, parsley leaves, cayenne pepper",https://www.archanaskitchen.com/rosemary-crostini-with-fine-cheddar-beetroot-dip-and-avocado
togari bele tovve recipe    toor dal rasam,"toor dal , water, turmeric powder , ginger, green chilli, tamarind, lemon juice, ghee, mustard seeds , asafoetida , curry leaves, coriander leaves",https://www.archanaskitchen.com/togaribele-tovve-recipe-red-gram-dal-rasam
light and healthy spinach soup recipe,"spinach leaves , extra virgin olive oil, garlic, coriander leaves, milk, vegetable stock, black pepper powder, salt",https://www.archanaskitchen.com/light-and-healthy-spinach-soup-recipe
kadali bhanda o chingudi tarkari recipe  odia style banana blossom   prawn curry,"banana flower , prawns, potato , onion, bay leaf , cinnamon stick , cardamom seeds, cloves , dry red chilli, cumin seeds , ginger garlic paste, cumin powder , sugar, turmeric powder , garam masala powder, red chilli powder, mustard oil, salt, fresh coconut",https://www.archanaskitchen.com/kadali-bhanda-o-chingudi-tarkari-recipe-odia-style-banana-blossom-prawn-curry
konkani style vali bendi recipe malabar spinach curry,"spinach leaves , garlic, salt, fresh coconut, dry red chilli, tamarind",https://www.archanaskitchen.com/konkani-style-vali-bendi-recipe-malabar-spinach-curry
zucchini salad with barbecue sauce dressing recipe,"green zucchini, carrot , yellow bell pepper  capsicum , red bell pepper  capsicum , sesame seeds , mixed herbs  dried , barbeque sauce, lemon juice, red chilli flakes, extra virgin olive oil, salt",https://www.archanaskitchen.com/zucchini-salad-with-barbecue-sauce-dressing-recipe
whole wheat soya keema kulchas,"whole wheat flour, curd , milk, carom seeds , baking soda, sugar, oil, lukewarm water, soy granules, onions, cumin seeds , red chilli powder, turmeric powder , garam masala powder, coriander powder , garlic, ginger, oil, lemon juice, salt, coriander leaves, green chilli, mint leaves , ghee",https://www.archanaskitchen.com/whole-wheat-soya-keema-kulchas
lemon coriander soup recipe,"oil, garlic, ginger, spring onion , coriander leaves,carrot , water, salt, black pepper powder, corn flour, lemon juice",https://www.archanaskitchen.com/lemon-coriander-soup-recipe
goan chana ros recipe  white peas curry,"dried green peas  vatana , onion, fresh coconut, dry red chilli, coriander seeds, cloves , tamarind, turmeric powder , salt",https://www.archanaskitchen.com/goan-chana-ros-recipe-white-peas-curry
mixed sprouts sabzi recipe,"mixed sprouts, water, oil, cumin seeds , asafoetida , onion, ginger garlic paste, tomato, green chilli, turmeric powder , salt, red chilli powder, cumin powder , garam masala powder, coriander powder , coriander leaves",https://www.archanaskitchen.com/mixed-sprouts-sabzi-recipe
french brioche recipe  savoury version,"all purpose flour , salt, active dry yeast, sugar, eggs, butter  salted , milk, homemade pizza and pasta sauce, milk, oil",https://www.archanaskitchen.com/french-brioche-recipe-savoury-version
andhra style patoli recipe  dal usli  crumbled dal recipe,"bengal gram dal , green chilli, mustard seeds ,  urad dal , cumin seeds , curry leaves, asafoetida , onion, ginger garlic paste, red chilli powder, turmeric powder , salt, oil",https://www.archanaskitchen.com/andhra-style-patoli-recipe-dal-usli-crumbled-dal-recipe
kathirikai urulaikizhanghu pachidi recipe  brinjals and potatoes with moong dal,"moong dal , turmeric powder , shallots, tomato, eggplant , potatoes  aloo , green chilli, salt, coriander leaves, oil, curry leaves, dry red chilli, mustard seeds ,  urad dal",https://www.archanaskitchen.com/kathirikai-urulaikizhanghu-pachidi-recipe-brinjals-and-potatoes-with-moong-dal
spinach and millet pulav recipe,"foxtail millet, ginger, tomatoes, green chilli, bay leaf , cardamom seeds, turmeric powder , cumin powder , spinach leaves , salt, oil, ghee",https://www.archanaskitchen.com/spinach-and-millet-pulav-recipe
whole wheat seeded loaf recipe,"whole wheat flour, all purpose flour , sunflower seeds, carom seeds , salt, active dry yeast, lukewarm water, oil",https://www.archanaskitchen.com/whole-wheat-seeded-loaf
avocado  grapefruit and walnut salad recipe,"avocado, grapefruit, cherry tomatoes, walnuts, mixed greens, lemon juice, extra virgin olive oil, white vinegar, soy sauce, honey, shallots, dijon mustard, salt, black pepper powder",https://www.archanaskitchen.com/avocado-grapefruit-and-walnut-salad-recipe
andhra style vankaya kothimeera karam koora recipe," eggplant , coriander leaves, green chilli, salt, oil",https://www.archanaskitchen.com/andhra-style-vankaya-kothimeera-karam-koora-recipe
muga ambat recipe,"green moong sprouts, fresh coconut, dry red chilli, turmeric powder , tamarind water, salt, water, oil, oil, dry red chilli, mustard seeds , onion, curry leaves",https://www.archanaskitchen.com/muga-ambat-recipe
chicken with mushroom sauce recipe,"chicken breasts, mushrooms, onion, garlic, dried thyme leaves, red chilli flakes, black pepper powder, milk, corn flour, salt, butter  unsalted",https://www.archanaskitchen.com/chicken-with-mushroom-sauce-recipe
kodava kummu curry recipe  coorg style mushroom curry,"mushrooms, green chilli, dry red chilli, whole black peppercorns, onion, tomatoes, curry leaves, coriander seeds, turmeric powder , salt, oil, fresh coconut, cumin seeds , garlic",https://www.archanaskitchen.com/kodava-kummu-curry-recipe-coorg-style-mushroom-curry
malai kofta curry recipe   creamy and healthy paneer aloo kofta curry,"potatoes  aloo , paneer , garam masala powder, red chilli powder, gram flour  besan , coriander leaves, sultana raisins, salt, oil, ghee, ginger, garlic, onion, tomato puree, coriander powder , garam masala powder, turmeric powder , red chilli powder, cardamom powder , honey, fresh cream, fenugreek leaves , salt",https://www.archanaskitchen.com/healthy-malai-kofta-recipe
mangalore cucumber chana dal subzi recipe,"cucumber, bengal gram dal , cumin seeds , bay leaf , ginger, tomato, coriander powder , turmeric powder , red chilli powder, sugar, coriander leaves, oil, cumin seeds , dry red chilli, salt",https://www.archanaskitchen.com/mangalore-cucumber-chana-dal-subzi-recipe
raw mango puliyogare gojju recipe with peanuts,"mango  raw , mustard seeds ,  urad dal , bengal gram dal , curry leaves, raw peanuts , jaggery, asafoetida , oil, black sesame seeds, dry red chilli, coriander seeds, mustard seeds , methi seeds , cumin seeds , whole black peppercorns",https://www.archanaskitchen.com/raw-mango-puliogare-gojju-recipe
chicken yakisoba recipe   japanese noodles,"chicken breasts, salt, corn flour, black pepper powder, oil, yakisoba noodles, oil, onion, carrot , cabbage , spring onion greens, mushrooms, soy sauce, red wine vinaigrette, brown sugar , worcestershire sauce, green chilli",https://www.archanaskitchen.com/chicken-yakisoba-recipe-japanese-noodles
beerakaya tomato koora recipe  andhra style ridge gourd curry,"ridge gourd  turai  peerkangai , onion, tomatoes, garlic, jaggery, red chilli powder, coriander powder , turmeric powder , methi seeds , fennel seeds , curry leaves, mustard seeds , asafoetida , coriander leaves, dry red chilli, oil, salt",https://www.archanaskitchen.com/beerakaya-tomato-koora-recipe-andhra-style-ridge-gourd-curry
shrimp deviled eggs recipe,"eggs, spring onion , shrimps, classic mayonnaise  with egg , english mustard sauce, black pepper powder, garlic powder, spring onion greens, salt",https://www.archanaskitchen.com/shrimp-deviled-eggs-recipe
gobi matar ki sabzi recipe   easy cauliflower and green peas curry,"cauliflower  , green peas , oil, cumin seeds , onion, garlic, green chilli, ginger, tomatoes, turmeric powder , red chilli powder, coriander powder , garam masala powder, salt, coriander leaves",https://www.archanaskitchen.com/gobi-matar-ki-sabzi-recipe-easy-cauliflower-and-green-peas-curry
grilled winter vegetable salad recipe,"green zucchini, red bell pepper  capsicum , orange bell pepper  capsicum , japanese eggplant, onion, extra virgin olive oil, salt, dried basil leaves, dried oregano, extra virgin olive oil, red wine vinaigrette, honey, hot sauce, salt",https://www.archanaskitchen.com/grilled-summer-vegetable-salad
kerala style brinjal curry recipe   spicy eggplant curry in coconut milk,"baby brinjals, turmeric powder , salt, coconut oil, coconut oil, mustard seeds , fennel seeds , curry leaves, green chilli, pearl onions  sambar onions , turmeric powder , red chilli powder, tomatoes, coconut milk, salt, coriander leaves",https://www.archanaskitchen.com/kerala-style-eggplant-curry-recipe
sweet potato and broccoli sabzi recipe,"broccoli, sweet potato, cumin powder , turmeric powder , salt, kalonji  onion nigella seeds , oil, red chilli powder, salt",https://www.archanaskitchen.com/stir-fried-potatoes-with-broccoli-recipe-aloo-broccoli-sabzi
thai lemongrass rice recipe,"jasmine rice, lemon grass, cardamom seeds",https://www.archanaskitchen.com/thai-lemongrass-rice-recipe
bengali sukto recipe   mixed vegetable curry,"karela  bitter gourd  pavakkai , sweet potato, eggplant , kaddu  parangikai  pumpkin , drumstick, raw papaya, ridge gourd  turai  peerkangai , badi  wadi , plantain stem, mustard seeds , poppy seeds, sugar, milk, turmeric powder , cumin powder , methi seeds , dry red chilli, bay leaf , ginger, ghee, mustard oil, salt",https://www.archanaskitchen.com/sukto-recipe-bengali-style-mixed-vegetable
panasa pottu aava koora recipe   andhra style mustard flavoured raw jackfruit curry,"jackfruit , tamarind paste, green chilli, oil, water, mustard seeds ,  urad dal , bengal gram dal , dry red chilli, asafoetida , curry leaves, salt, cashew nuts, turmeric powder , mustard seeds , sesame seeds , dry red chilli",https://www.archanaskitchen.com/panasapottu-aavakura
